filename,transcript,grammar_score,errors,issues
LJ001-0001.wav," Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.",100.0,0,[]
LJ001-0002.wav, in being comparatively modern.,75.0,1,['This sentence does not start with an uppercase letter.']
LJ001-0003.wav," For although the Chinese took impressions from wood blocks and graved in relief for centuries before the wood cutters of the Netherlands by a similar process,",100.0,0,[]
LJ001-0004.wav," produced the block books, which were the immediate predecessors of the true printed book.",92.86,1,['This sentence does not start with an uppercase letter.']
LJ001-0005.wav, The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.,100.0,0,[]
LJ001-0006.wav, And it is worth mentioning in passing that has an example of fine typography.,100.0,0,[]
LJ001-0007.wav," The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.",93.75,1,['Possible spelling mistake found.']
LJ001-0008.wav, has never been surpassed.,75.0,1,['This sentence does not start with an uppercase letter.']
LJ001-0009.wav, Printing then for our purpose may be considered as the art of making books by means of movable types.,100.0,0,[]
LJ001-0010.wav," Now, as all books, not primarily intended as picture books, consist principally of types composed to form letterpress.",100.0,0,[]
LJ001-0011.wav, It is of the first importance that the letter used should be fine and form.,100.0,0,[]
LJ001-0012.wav," especially as no more time is occupied or cost incurred in casting, setting or printing beautiful letters.",94.12,1,['This sentence does not start with an uppercase letter.']
LJ001-0013.wav, then in the same operations with ugly ones.,87.5,1,['This sentence does not start with an uppercase letter.']
LJ001-0014.wav," And it was a matter of course that in the middle ages, when the craftsmen took care that beautiful forms should always be a part of their productions, whatever they were.",96.77,1,"['Capitalize specific historic events, episodes, and eras.']"
LJ001-0015.wav," The forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable, and a help to the shapeliness of the letters themselves.",100.0,0,[]
LJ001-0016.wav, the Middle Ages brought calligraphy to perfection. And it was natural therefore.,91.67,1,['This sentence does not start with an uppercase letter.']
LJ001-0017.wav," that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.",95.65,1,['This sentence does not start with an uppercase letter.']
LJ001-0018.wav," The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character.",100.0,0,[]
